a: 1100000010001111010000001000001010111100101110101011001000000010110011000000000001011011000101110000
b: 1100100010001111010000001000001111011100001110101010001000000010110011000000000001010011000101010000
c: 1100001010001111010000001100001011111100001110101011001000000010111011000000000001011011000101011000
d: 1100101000001111010001001100001111111100101110101010001000000010110011000000000001010011000101011000
e: 1100001010001111010000001000001010111100101110101011001000000010111011000000000001011011000101011000
f: 1100101010001111010000001100001111111110001110101011001000100010110011000000000001011011000101011000
g: 1100100010001111010000001100001110111100001110101010001000000010110011000000000001010011000101011000
h: 1100100000001111010000001000001111111100001110101010001000000010110011000000000001010011000101010000
i: 1100101010001111110000001100001111111110001100101011001000000010110011010000000001010011000101011000
j: 1100101010001111110000001100001111011110001110101011001000000010110011000000000001010011000101010000
k: 1100100010001011010000001000001010111100001110101011001000100010110011000000000011010011000101010000
l: 1100101010001011010000001100001111011110001110101011001000000010110011000000000001010011000101011000
m: 1100100000001111010000001000001111111100001110101010001000000010110011000000000001010011000101010000
n: 1100100010001111010000001000001111111100001110101010001000000000110011000000000001010011000101011000
o: 1100101010001111010000001100001111111100001110101010001000000010110011000000000001011011000101011000
p: 1100101010001111010000001000001111011100001110101010001000000000110011010000000001011011000101010000
q: 1100100010001111010000001100001111111100101110101010001000000010110011000000000001011011010101011000
r: 1100101010001111110000001100001111111110001110101011001000000010110011000000000001011011000101010000
s: 1100001010001111010000001000001010111100001100101011001000000010110011000000000001011011000101010000
t: 1100001010001011010000001100001111111110001110101011001000000010110011000000000001010011000101011000
u: 1100101010001111010000001100001111011100001110101010001000000010110011000000000001010011000101011000
v: 1100000010001111010000001100001111111100001100101011001000000010111011010000000001011011000101011000
w: 1100100010001111010000001000001111111110001110101010001000001010110011000000000001011011000101011000
x: 1100000010001011010000001000001010111100001110101011001000100010110011010000000001011011000101111000
y: 1100000010001111010000001100001111111110001100101011001000000010101011010000000001011011000101011000
z: 1100000010001111010000001000001111111100001110101011001000000010110011010000000001011011000101011000
